X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
PA%,H,0.92392,-0.024318993,0.05045998,0.9204,5.0,0.9737756
PA%,Batted Balls,0.9235,-0.024329007,0.045539975,0.92091,5.0,0.9735651
PA%,TB,0.92181,-0.0017496943,0.072509944,0.91617,5.0,0.9610201
PA_ROB,TB,0.92179,0.021419644,0.081229985,0.91701,5.0,0.94887847
PITCHES,AB,0.92132,-0.025261283,0.028069973,0.9151,5.0,0.9729241
FB,STRIKES,0.92101,0.057957113,0.13414001,0.91421,5.0,0.9290064
BALLS,TOB,0.92004,-0.018146336,0.048160017,0.9149,5.0,0.9686002
D_EqR,PITCHES,0.92003,0.033578455,0.03801,0.91374,5.0,0.94151556
D_VORPr,D_MLVr,0.91991,-0.04395175,0.03757,0.91359,5.0,0.9817646
PA_ROB,STRIKES,0.91965,0.015762985,0.07839,0.91458,5.0,0.9507297
ROB,STRIKES,0.91965,0.026707053,0.08441001,0.91458,5.0,0.9449566
D_VORPr,D_PMLVr,0.91885,-0.05952573,0.04753995,0.91632,5.0,0.98912877
R2,STRIKES,0.91864,0.031585276,0.09675002,0.91369,5.0,0.9418358
R2,AB,0.91591,0.02789247,0.09465003,0.90887,5.0,0.9423468
STRIKES,H,0.91576,-0.0049809813,0.073220015,0.91179,5.0,0.95955247
D_RAP,D_RPMLVr,0.91437,0.21068162,0.057739973,0.90624,5.0,0.83886135
D_MLV,D_VORPr,0.91414,0.21224761,0.09922999,0.91045,5.0,0.8377902
ROB,OUT,0.91387,0.015971541,0.02797997,0.90838,5.0,0.94757503
D_OUTS_EQ,PITCHES,0.91365,-0.030361235,0.04771,0.90892,5.0,0.9716024
R2,PITCHES,0.9135,0.02941084,0.08029997,0.90913,5.0,0.9402602
OUT,H,0.91341,-0.0045024753,0.07615,0.90591,5.0,0.9580775
UBBr,BBr,0.91212,-0.040153086,0.036610007,0.9068,5.0,0.9758448
ROB,PITCHES,0.91083,0.022696674,0.035840034,0.90628,5.0,0.94240826
PA_ROB,SIT_DP,0.91067,-0.03832543,0.06536996,0.90971,5.0,0.97416395
D_EqR,PA,0.91013,0.031059682,0.031350017,0.90511,5.0,0.9375875
FB,PA,0.9099,0.035978496,0.079680026,0.90199,5.0,0.9348377
R1,AB,0.90922,0.025247216,0.049319983,0.90302,5.0,0.94019824
PA_ROB,TOB,0.90843,0.003720045,0.045430005,0.90599,5.0,0.9511624
PA_ROB,PITCHES,0.90714,0.0058416724,0.026760042,0.90221,5.0,0.94936734
R2,PA,0.90499,0.0024350286,0.04653001,0.9006,5.0,0.95002896
ROB,TB,0.90375,0.018402755,0.07205999,0.89912,5.0,0.94092894
STRIKES,TB,0.90324,-0.0066313744,0.038889945,0.89921,5.0,0.9538718
D_EqR,H,0.90185,0.01562041,0.040199995,0.89254,5.0,0.94139767
D_EqR,STRIKES,0.90008,0.042265773,0.045030057,0.89,5.0,0.9261826
ROB,D_OUTS_EQ,0.89982,0.008200407,0.015850008,0.89341,5.0,0.9442561
D_RAR,D_VORP,0.89977,-0.050275683,0.044939995,0.89684,5.0,0.9747029
TB,AB,0.89685,-0.01874429,0.030149996,0.89363,5.0,0.9568669
D_PMLV,D_VORPr,0.89596,0.18521863,0.05489999,0.89314,5.0,0.8430548
D_RPMLV,D_RPMLVr,0.89497,0.12301296,0.036760032,0.89155,5.0,0.87861085
D_EqR,AB,0.8944,0.052498758,0.050449967,0.88801,5.0,0.91755176
OUT,TOB,0.89381,-0.0012320876,0.023000002,0.89009,5.0,0.9460666
D_OUTS_EQ,TOB,0.89348,-1.9913912E-4,0.056949973,0.88742,5.0,0.94534606
OUT,TB,0.89215,0.007877409,0.04615003,0.88664,5.0,0.9403577
PITCHES,H,0.89188,-0.0020763278,0.06311995,0.88485,5.0,0.9454926
B3R,3B,0.89155,0.14508384,0.12336999,0.89155,2.5849626,0.86398274
D_EqR,PA%,0.89152,0.018797517,0.05885005,0.88461,5.0,0.9341962
TB,H,0.89076,-0.04086417,0.039879978,0.88736,5.0,0.9652068
FB,AB,0.88897,0.015226662,0.050800025,0.88244,5.0,0.9347424
D_RAP,D_PMLV,0.8889,-0.06629592,0.071119964,0.88572,5.0,0.97734123
R1,PA,0.88833,-0.0052115917,0.035369992,0.88269,5.0,0.9452733
PITCHES,TB,0.88821,-0.017616987,0.038299978,0.88381,5.0,0.95174944
D_VORP,D_VORPr,0.88807,0.11509919,0.032159984,0.88807,4.70044,0.8791876
R2,TOB,0.88761,0.01572448,0.06595999,0.88031,5.0,0.9337481
D_EqA,D_VORPr,0.88722,0.021719575,0.095999956,0.88245,5.0,0.93032277
ROB,TOB,0.88679,0.004299104,0.03893,0.88142,5.0,0.93940985
STRIKES,BALLS,0.88512,-0.027154684,0.038590014,0.88095,5.0,0.9551307
R2,BALLS,0.88391,0.051001847,0.08625001,0.87878,5.0,0.912638
R2,OUT,0.88299,-0.0026740432,0.058420002,0.87881,5.0,0.94109726
BALLS,PA,0.88221,-0.024615347,0.035480022,0.87652,5.0,0.9522738
D_RAR,D_RPMLV,0.88181,-0.064076126,0.026670039,0.87419,5.0,0.9725668
Batted Balls,TOB,0.88148,0.0020842552,0.055590034,0.87656,5.0,0.937761
D_OUTS_EQ,TB,0.88104,1.8203259E-4,0.048860013,0.87793,5.0,0.93854034
PA_ROB,D_EqR,0.87904,0.02800417,0.045510054,0.87311,5.0,0.92251605
R2,TB,0.87675,0.0044900775,0.07656002,0.87149,5.0,0.9339486
D_RPMLV,D_VORPr,0.87644,0.10532987,0.028060019,0.858,4.9068904,0.87812877
LEADOFF_PA,AB,0.87636,0.14640296,0.12115997,0.86819,5.0,0.85437524
Batted Balls,STRIKES,0.87636,-0.03778851,0.045620024,0.87136,5.0,0.95611113
SIT_DP,AB,0.87574,0.00559783,0.054069996,0.86994,5.0,0.9328141
D_EqR,BALLS,0.87525,-0.006161809,0.042379975,0.86666,5.0,0.9388353
PA%,BALLS,0.87431,-0.028887153,0.05185002,0.86789,5.0,0.95036685
1B,H,0.8737,-0.047249794,0.047990024,0.87118,5.0,0.9596613
D_OUTS_EQ,D_EqR,0.87239,0.07371551,0.08854002,0.86615,5.0,0.8936859
R2,D_OUTS_EQ,0.87156,-0.007965326,0.08837998,0.86702,5.0,0.9378301
FB,TB,0.86962,-0.014056742,0.023689985,0.86618,5.0,0.9400408
Batted Balls,1B,0.86851,-0.052078366,0.05274999,0.86324,5.0,0.95947295
ROB,D_EqR,0.86753,0.038324356,0.06307995,0.86124,5.0,0.9106073
FB,OUT,0.86735,2.1713972E-4,0.031780005,0.86409,5.0,0.93119967
D_EqA,D_RPMLVr,0.8666,0.0041859746,0.099649966,0.861,5.0,0.9286625
R1,OUT,0.86647,-0.010897577,0.030200005,0.86083,5.0,0.936679
OBI,ROB,0.86595,-0.028122187,0.06695998,0.86106,5.0,0.9455539
D_PMLVr,D_MLVr,0.86576,-0.07652652,0.030890048,0.8604,5.0,0.97071445
D_RARP,D_RAR,0.86536,-0.080289185,0.072080016,0.85908,5.0,0.97244495
D_OUTS_EQ,LEADOFF_PA,0.86401,0.13299859,0.10298997,0.8589,5.0,0.85499203
Batted Balls,LD,0.86309,-0.04280728,0.07258999,0.85555,5.0,0.95178634
ROB,R3,0.86298,-0.06753701,0.048539996,0.86285,5.0,0.9646331
R1,STRIKES,0.86247,-0.0050411224,0.07246995,0.85506,5.0,0.93140274
ROB,BALLS,0.86242,0.028318524,0.06414002,0.85554,5.0,0.9132916
D_EqR,R,0.86171,-0.0529297,0.03463,0.85419,5.0,0.95636797
D_OUTS_EQ,FB,0.86164,7.70092E-4,0.03283,0.85783,5.0,0.92783076
PA_ROB,BALLS,0.86099,0.011246264,0.046360016,0.85331,5.0,0.92181545
PA_ROB,H,0.86058,-0.022470415,0.03182,0.85645,5.0,0.93970764
PA_ROB,Batted Balls,0.86032,-8.8500977E-4,0.030279994,0.84995,5.0,0.9280113
FB,PITCHES,0.85955,0.015489757,0.060630023,0.85445,5.0,0.9187275
GIDP,DP,0.85888,-0.09760296,0.027309954,0.85888,4.807355,0.97799945
R2,PA%,0.85868,-0.038840175,0.027040005,0.85547,5.0,0.9473754
SIT_DP,PA,0.8581,-0.021176636,0.029730022,0.85186,5.0,0.9376975
R2,D_EqR,0.85782,0.03879565,0.08578998,0.8509,5.0,0.9049996
D_VORP,D_RPMLVr,0.85687,0.09827447,0.050960004,0.84725,5.0,0.8709739
R1,PA%,0.85652,-0.03109616,0.029200017,0.85418,5.0,0.94213384
R2,R1,0.85635,-0.06710726,0.03801,0.85182,5.0,0.9609668
D_EqR,OUT,0.85594,0.054355204,0.05980003,0.85014,5.0,0.89531267
G_LF,PA_LF,0.85562,-0.11316419,0.055900037,0.85562,2.5849626,0.98426837
OBI,RBI,0.8549,-0.105305314,0.034449995,0.8549,4.321928,0.97990066
OUT,LEADOFF_PA,0.85422,0.13028157,0.08712995,0.84807,5.0,0.8508457
R3,PA_ROB,0.85323,-0.060952127,0.05892998,0.85298,5.0,0.9561287
R,TB,0.85305,-0.052275836,0.041669965,0.84813,5.0,0.9514861
ROB,Batted Balls,0.85266,0.0082730055,0.03547001,0.84071,5.0,0.9189053
Batted Balls,FB,0.8525,0.00953573,0.060860038,0.84564,5.0,0.9181309
R,PITCHES,0.85222,-0.038714588,0.04697001,0.84493,5.0,0.9438933
Batted Balls,TB,0.85082,-0.006457627,0.058889985,0.84585,5.0,0.9258929
Batted Balls,PITCHES,0.84961,-0.022695959,0.05598998,0.84152,5.0,0.9339732
D_MLV,D_PMLVr,0.84817,0.16452444,0.05756998,0.84337,5.0,0.8268286
R1,TB,0.84764,-0.021651268,0.03188002,0.8445,5.0,0.9323579
R,STRIKES,0.84641,-0.031980693,0.039270043,0.84041,5.0,0.937225
D_RPMLV,D_PMLVr,0.84622,0.091430426,0.047140002,0.83692,5.0,0.8687863
ROB,H,0.84597,-0.015682995,0.048940003,0.84224,5.0,0.92825264
R,TOB,0.8458,-0.07399398,0.08201003,0.83542,5.0,0.9590589
R1,D_OUTS_EQ,0.8457,-0.02478671,0.022010028,0.84106,5.0,0.9329988
PA,G,0.84515,-0.05283159,0.033150017,0.83891,5.0,0.9476189
STRIKES,LEADOFF_PA,0.84435,0.110681295,0.09086001,0.83798,5.0,0.8565446
OUT,G,0.84429,-0.053777337,0.046009958,0.83638,5.0,0.94766414
AB,G,0.84409,-0.0496282,0.050069988,0.84409,4.4594316,0.9453667
PA_ROB,FB,0.84341,-0.0072740912,0.029110014,0.8381,5.0,0.9223254
STRIKES,SIT_DP,0.84308,-0.008980453,0.08709997,0.83548,5.0,0.9230712
R3,AB,0.84275,0.018850625,0.05317998,0.83428,5.0,0.90768903
R3,PA,0.84247,0.003358066,0.052410007,0.8369,5.0,0.9160305
FB,TOB,0.84149,0.012283027,0.052049994,0.83528,5.0,0.910608
D_EqR,FB,0.8395,0.03433162,0.03268999,0.83439,5.0,0.89731175
D_RPMLV,D_MLVr,0.83911,0.07231414,0.03211999,0.83254,5.0,0.8756688
PITCHES,LEADOFF_PA,0.83903,0.115640044,0.119400024,0.82831,5.0,0.85052335
BALLS,AB,0.83778,-0.017450988,0.027450025,0.83112,5.0,0.924787
HITR,AVG,0.83736,-0.09712368,0.03757,0.82967,5.0,0.96668696
PA%,FB,0.83586,-0.03672105,0.02192998,0.8338,5.0,0.9341205
D_RAR,D_EqR,0.83401,-0.050810695,0.034730017,0.82753,5.0,0.9406491
BALLS,OUT,0.83359,-0.021372378,0.017390013,0.8283,5.0,0.9246417
ROB,FB,0.83358,-0.009529531,0.021179974,0.82689,5.0,0.91820997
SIT_DP,TB,0.83352,-0.016141117,0.077279985,0.82842,5.0,0.92177063
R,PA,0.83345,-0.05222714,0.031180024,0.82602,5.0,0.94110423
SIT_DP,OUT,0.8316,-0.025355339,0.034810007,0.82488,5.0,0.92571884
LEADOFF_PA,PA,0.83154,0.097550035,0.049459994,0.82647,5.0,0.85673213
LEADOFF_PA,H,0.83112,0.13158125,0.032490015,0.82359,5.0,0.83638436
R3,STRIKES,0.83105,0.009791136,0.090409994,0.8238,5.0,0.9062333
PA%,SIT_DP,0.83063,-0.04239589,0.031969965,0.82736,5.0,0.93435854
OBI,PA_ROB,0.82986,-0.062448323,0.056879997,0.82674,5.0,0.9446207
RBI,TB,0.82924,-0.05538416,0.04607004,0.82461,5.0,0.9405446
R1,PITCHES,0.8292,-0.03216511,0.026059985,0.8223,5.0,0.9280976
Batted Balls,LEADOFF_PA,0.829,0.12254101,0.044729948,0.82499,5.0,0.84051114
G_RF,PA_RF,0.82844,-0.15819639,0.008849978,0.82844,2.0,0.9932957
STRIKES,G,0.82607,-0.066839874,0.04719001,0.82607,4.5849624,0.9449391
D_EqR,Batted Balls,0.8259,0.042439222,0.07692999,0.81866,5.0,0.8851332
R3,OUT,0.82589,0.0022180676,0.06676996,0.81882,5.0,0.90756375
D_OUTS_EQ,G,0.82534,-0.07155794,0.058079958,0.81831,5.0,0.94704694
R2,SIT_DP,0.82525,-0.05664128,0.028640032,0.82198,5.0,0.93909067
D_VORP,D_PMLVr,0.82495,0.08354235,0.06766003,0.81988,5.0,0.8610503
D_VORP,D_MLVr,0.82447,0.072464705,0.013260007,0.81931,5.0,0.8671824
R2,Batted Balls,0.8242,-0.004662454,0.063299954,0.82051,5.0,0.9104188
D_PMLV,D_MLVr,0.82412,0.13686484,0.046140015,0.8172,5.0,0.8290085
LD,AB,0.82404,-0.054028153,0.054250002,0.82138,5.0,0.9370529
R3,TOB,0.82326,0.01583141,0.033930004,0.81859,5.0,0.8985703
LD,H,0.82253,-0.08525044,0.044319987,0.81879,5.0,0.9527751
PITCHES,G,0.82245,-0.054343283,0.05250001,0.8125,5.0,0.9363724
LEADOFF_PA,TB,0.82219,0.16817999,0.03999996,0.8127,5.0,0.80870885
SIT_DP,TOB,0.82214,-0.036257327,0.03887999,0.81943,5.0,0.92649734
R3,PITCHES,0.82035,0.002814889,0.06905997,0.81217,5.0,0.9041765
D_OUTS_EQ,R,0.81998,-0.011235356,0.08459002,0.8115,5.0,0.91171014
G_3B,PA_3B,0.81995,-0.16413683,0.010609984,0.81995,2.5849626,0.9920115
R2,FB,0.81869,-0.013021469,0.03732997,0.81531,5.0,0.9119822
BALLS,TB,0.81827,-0.03367865,0.037339985,0.81096,5.0,0.92301065
PA%,G,0.81824,-0.08017951,0.048559964,0.81824,4.5849624,0.9478499
ROB,RBI,0.81813,-0.046922565,0.057779968,0.81624,5.0,0.930082
TOB,G,0.81779,-0.019831479,0.06865996,0.81179,5.0,0.9152166
D_OUTS_EQ,BALLS,0.81769,-0.032245457,0.028629959,0.81129,5.0,0.92191947
R3,PA%,0.81761,-0.015164316,0.054019988,0.8151,5.0,0.9125647
R,OUT,0.81742,-0.011472046,0.08662999,0.8103,5.0,0.9104351
D_EqR,SIT_DP,0.81616,0.017675221,0.057310045,0.80958,5.0,0.8935798
OBI,R1,0.81589,-0.05031079,0.08429998,0.81128,5.0,0.9306991
R,AB,0.81585,-0.04307866,0.06598002,0.80903,5.0,0.92678404
D_RPMLV,D_MLV,0.81525,-0.11679286,0.053640008,0.80849,5.0,0.96542364
IBBR,IBB,0.81478,0.037437797,0.15757,0.81478,2.5849626,0.8816701
SB%,SB,0.81478,0.59795547,0.09907001,0.81478,3.0,0.4656442
D_OUTS_EQ,SIT_DP,0.81344,-0.03842336,0.037180007,0.80755,5.0,0.92296445
PITCHES,SIT_DP,0.81284,-0.03483075,0.040669978,0.80464,5.0,0.92069036
R3,D_OUTS_EQ,0.81057,-0.009215355,0.055489957,0.80556,5.0,0.90542
PA%,LEADOFF_PA,0.80916,0.074197054,0.043940008,0.80662,5.0,0.8572998
R1,TOB,0.80897,-0.053188443,0.040480018,0.80458,5.0,0.92852485
G_1B,PA_1B,0.8089,-0.17617214,0.06007999,0.8089,3.321928,0.992508
R2,H,0.80833,-0.037908077,0.03113997,0.80576,5.0,0.919912
TOB,LEADOFF_PA,0.80707,0.10769075,0.07576001,0.80106,5.0,0.836289
D_RAP,D_VORP,0.80701,-0.12293285,0.051970005,0.79916,5.0,0.96433544
FB,BALLS,0.80636,0.03401941,0.07269001,0.79934,5.0,0.8788291
PA_ROB,R,0.80571,-0.0064606667,0.023630023,0.79899,5.0,0.9012051
SIT_DP,H,0.80484,-0.046632826,0.049490035,0.79869,5.0,0.92275286
OBI,R2,0.80425,-0.07229406,0.03016001,0.8014,5.0,0.9362393
HRr,D_ISO,0.80413,-0.10071677,0.034509957,0.7975,5.0,0.95123434
Batted Balls,G,0.80385,-0.043527365,0.06164998,0.79502,5.0,0.92053103
ROB,R,0.80374,0.018270195,0.04041004,0.79507,5.0,0.88626736
OBI,TB,0.80347,-0.05180317,0.065400004,0.79876,5.0,0.9248098
FB,H,0.80267,-0.041700423,0.025870025,0.79626,5.0,0.9188963
Batted Balls,GB,0.80145,-0.08457285,0.035679996,0.79603,5.0,0.9412879
D_RARP,D_RAP,0.80145,-0.132469,0.038680017,0.80145,4.807355,0.96639484
R1,FB,0.80131,-0.024845064,0.023329973,0.79496,5.0,0.9089307
TB,2B,0.80073,-0.055105686,0.07824999,0.7942,5.0,0.92511386
PA%,R,0.80065,-0.07817423,0.05302,0.79729,5.0,0.93745625
R,H,0.79942,-0.07634908,0.06342,0.79839,5.0,0.93582535
D_VORP,D_MLV,0.79935,-0.11458582,0.028750002,0.79205,5.0,0.9559999
PA_ROB,RBI,0.79919,-0.06408286,0.044170022,0.7963,5.0,0.9291248
Batted Balls,SIT_DP,0.79908,-0.028880417,0.052680016,0.79009,5.0,0.9099233
GB,1B,0.79879,-0.11428416,0.033389986,0.79407,5.0,0.9555491
R3,D_EqR,0.79851,0.04338765,0.08309001,0.78984,5.0,0.8689778
D_EqR,D_RPMLV,0.79674,-6.0385466E-4,0.081449986,0.78572,5.0,0.8929411
D_RARP,D_EqR,0.79659,-0.04644525,0.05015999,0.79023,5.0,0.9181695
D_RAP,D_RPMLV,0.79645,-0.13054466,0.03733003,0.78969,5.0,0.9628056
D_OUTS_EQ,LD,0.79637,-0.04831481,0.051370025,0.79194,5.0,0.9190674
OBI,PA,0.79603,0.006729722,0.07815999,0.79151,5.0,0.8884257
OBI,R3,0.7958,-0.053770483,0.10124999,0.79365,5.0,0.92172146
D_EqA,D_RPMLV,0.79554,0.21392596,0.10293001,0.7902,5.0,0.76263624
LD,1B,0.79528,-0.0846259,0.075399995,0.79433,5.0,0.938033
R1,H,0.79482,-0.053595662,0.053089976,0.78799,5.0,0.92109483
1B,AB,0.79476,-0.06965172,0.08214998,0.79294,5.0,0.92973745
ABR,BBr,0.79471,-0.07723868,0.038290024,0.78588,5.0,-0.9337819
OBI,AB,0.79462,0.018205643,0.082399964,0.78782,5.0,0.88114375
D_EqR,D_VORP,0.79447,-0.012757659,0.0668,0.78932,5.0,0.8984585
D_RAP,D_EqA,0.79413,0.2661991,0.01861,0.78856,5.0,0.72658855
D_EqA,D_VORP,0.79411,0.21487266,0.09287,0.78751,5.0,0.76107645
R2,RBI,0.7935,-0.057118,0.046790004,0.79156,5.0,0.92228955
D_EqR,2B,0.79335,-0.009997785,0.124279976,0.78184,5.0,0.8962967
LD,PA,0.79269,-0.06798351,0.032520056,0.78488,5.0,0.9277249
OBI,TOB,0.79234,-0.0042793155,0.069000006,0.7868,5.0,0.8925353
R1,D_EqR,0.7922,-0.01939565,0.03125,0.78257,5.0,0.90088606
D_PMLV,D_MLV,0.79124,-0.12225133,0.014039993,0.78426,5.0,0.9557674
OBI,STRIKES,0.79001,0.025544345,0.12803996,0.78307,5.0,0.87433726
R3,R1,0.78987,-0.089504,0.032460034,0.78495,5.0,0.93774945
D_RAR,D_EqA,0.78935,0.18648559,0.055969954,0.78403,5.0,0.7764434
OBI,R2_BI,0.78934,-0.10400629,0.055490017,0.76871,4.9068904,0.94517
H,G,0.78848,-0.046382368,0.04512,0.78384,5.0,0.91370803
D_EqA,D_PMLVr,0.78814,-0.041314423,0.04724002,0.78336,5.0,0.9107439
OBI,SIT_DP,0.78804,-0.052783847,0.07951999,0.78423,5.0,0.9169645
R3,BALLS,0.78744,0.018636763,0.08592999,0.78079,5.0,0.87681425
LD,OUT,0.78698,-0.05681187,0.050520003,0.78504,5.0,0.9185814
D_EqR,RBI,0.78648,-0.060225725,0.046350002,0.77985,5.0,0.92016613
D_RPMLV,D_PMLV,0.78633,-0.13372737,0.054309964,0.77912,5.0,0.9591962
R,BALLS,0.78621,-0.075625,0.053380013,0.78,5.0,0.9283507
R1,BALLS,0.78494,-0.021909714,0.022930026,0.7759,5.0,0.89824814
FB,SIT_DP,0.78264,-0.020328403,0.034289956,0.77628,5.0,0.896085
R1,Batted Balls,0.78222,-0.048162103,0.03565997,0.77711,5.0,0.91125304
PA%,1B,0.78208,-0.053899765,0.06831002,0.77769,5.0,0.9143193
R3,Batted Balls,0.78113,0.013363421,0.06388003,0.77439,5.0,0.8762229
1B,PA,0.78095,-0.057292998,0.07581997,0.77722,5.0,0.91555613
LD,TOB,0.77978,-0.049093425,0.03684002,0.77238,5.0,0.9104248
R3,H,0.77812,-0.0018332005,0.052709997,0.77409,5.0,0.88314956
